NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	Details ...	37	-0.6749569	-2.2511718	0.0	0.0016724826	0.001	1207	tags=32%, list=9%, signal=35%	
HALLMARK_G2M_CHECKPOINT%MSIGDB_C2%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDB_C2%HALLMARK_G2M_CHECKPOINT	Details ...	130	-0.5536687	-2.2482753	0.0	8.362413E-4	0.001	3020	tags=48%, list=22%, signal=62%	
GLYCOLYSIS%REACTOME DATABASE ID RELEASE 79%70171	GLYCOLYSIS%REACTOME DATABASE ID RELEASE 79%70171	Details ...	57	-0.6290811	-2.2203467	0.0	0.0010948961	0.002	1262	tags=39%, list=9%, signal=42%	
AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.3	Details ...	69	-0.6002868	-2.1907167	0.0	0.0028651063	0.007	1976	tags=35%, list=14%, signal=40%	
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380259	LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380259	Details ...	66	-0.5972167	-2.1792762	0.0	0.0026239348	0.008	1976	tags=33%, list=14%, signal=39%	
PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	Details ...	28	-0.7147658	-2.1739774	0.0	0.0024637019	0.009	1403	tags=39%, list=10%, signal=44%	
GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS	GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS	Details ...	15	-0.84399575	-2.1721659	0.0	0.0023528335	0.01	1262	tags=67%, list=9%, signal=73%	
HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	Details ...	143	-0.5270011	-2.1655312	0.0	0.0022652163	0.011	1685	tags=33%, list=12%, signal=37%	
ATP GENERATION FROM ADP%GOBP%GO:0006757	ATP GENERATION FROM ADP%GOBP%GO:0006757	Details ...	23	-0.73011535	-2.1627061	0.0	0.0023783683	0.013	1262	tags=48%, list=9%, signal=53%	
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME DATABASE ID RELEASE 79%380284	LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME DATABASE ID RELEASE 79%380284	Details ...	66	-0.5972167	-2.162252	0.0	0.0021405313	0.013	1976	tags=33%, list=14%, signal=39%	
REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 79%2565942	REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 79%2565942	Details ...	83	-0.56346196	-2.1540155	0.0	0.0022377325	0.015	1976	tags=35%, list=14%, signal=41%	
ADP METABOLIC PROCESS%GOBP%GO:0046031	ADP METABOLIC PROCESS%GOBP%GO:0046031	Details ...	25	-0.70806843	-2.1449463	0.0	0.0024612416	0.017	1262	tags=44%, list=9%, signal=48%	
CHROMOSOME CONDENSATION%GOBP%GO:0030261	CHROMOSOME CONDENSATION%GOBP%GO:0030261	Details ...	21	-0.7336301	-2.1284661	0.0	0.0029047218	0.022	1999	tags=62%, list=15%, signal=72%	
GLYCOLYTIC PROCESS%GOBP%GO:0006096	GLYCOLYTIC PROCESS%GOBP%GO:0006096	Details ...	22	-0.7322202	-2.1272874	0.0	0.0028167046	0.023	1262	tags=50%, list=9%, signal=55%	
RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING	RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING	Details ...	27	-0.69266486	-2.1228857	0.0	0.00307003	0.027	2250	tags=59%, list=16%, signal=71%	
RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380320	RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 79%380320	Details ...	76	-0.56164974	-2.1221833	0.0	0.002878153	0.027	2067	tags=32%, list=15%, signal=37%	
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	Details ...	33	-0.6638346	-2.107953	0.0	0.0043513104	0.044	1207	tags=30%, list=9%, signal=33%	
PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	Details ...	29	-0.68594027	-2.0917985	0.0	0.0053794445	0.057	1262	tags=41%, list=9%, signal=45%	
NUCLEAR DNA REPLICATION%GOBP%GO:0033260	NUCLEAR DNA REPLICATION%GOBP%GO:0033260	Details ...	21	-0.7335689	-2.0830784	0.0	0.005964464	0.066	1781	tags=38%, list=13%, signal=44%	
PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179	PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179	Details ...	28	-0.67047876	-2.0816293	0.0	0.0057474365	0.067	2015	tags=46%, list=15%, signal=54%	
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%R-HSA-389960.2	FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%R-HSA-389960.2		16	-0.7784615	-2.0761964	0.0	0.005785309	0.071	445	tags=38%, list=3%, signal=39%	
CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0016052	CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0016052		54	-0.58755684	-2.072818	0.0	0.005819904	0.075	1382	tags=35%, list=10%, signal=39%	
PID_ILK_PATHWAY%MSIGDB_C2%PID_ILK_PATHWAY	PID_ILK_PATHWAY%MSIGDB_C2%PID_ILK_PATHWAY		28	-0.67946255	-2.0711045	0.0	0.0059276326	0.08	1210	tags=36%, list=9%, signal=39%	
SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2		58	-0.5775361	-2.0650597	0.0	0.0062292553	0.086	2512	tags=52%, list=18%, signal=63%	
APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME%R-HSA-111465.3	APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME%R-HSA-111465.3		27	-0.6878205	-2.0633962	0.0	0.0063097226	0.09	2200	tags=63%, list=16%, signal=75%	
GLUCOSE METABOLISM%REACTOME%R-HSA-70326.8	GLUCOSE METABOLISM%REACTOME%R-HSA-70326.8		70	-0.56806433	-2.0489028	0.0	0.0075907665	0.112	1262	tags=31%, list=9%, signal=34%	
CELL DIVISION%GOBP%GO:0051301	CELL DIVISION%GOBP%GO:0051301		118	-0.5112601	-2.047637	0.0	0.007371111	0.113	1206	tags=29%, list=9%, signal=31%	
NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009132	NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009132		42	-0.59993815	-2.04748	0.0	0.007107856	0.113	2725	tags=57%, list=20%, signal=71%	
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 79%68962	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 79%68962		32	-0.6496103	-2.0439658	0.0	0.0071465094	0.118	1338	tags=28%, list=10%, signal=31%	
CENTROSOME MATURATION%REACTOME DATABASE ID RELEASE 79%380287	CENTROSOME MATURATION%REACTOME DATABASE ID RELEASE 79%380287		76	-0.5448895	-2.0382288	0.0	0.007460939	0.127	2067	tags=30%, list=15%, signal=35%	
NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165	NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165		27	-0.6742895	-2.038094	0.0	0.007220264	0.127	1262	tags=41%, list=9%, signal=45%	
CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 79%1500931	CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 79%1500931		73	-0.54002947	-2.0310838	0.0	0.007923365	0.143	1638	tags=32%, list=12%, signal=36%	
CHOLESTEROL BIOSYNTHESIS%REACTOME%R-HSA-191273.7	CHOLESTEROL BIOSYNTHESIS%REACTOME%R-HSA-191273.7		25	-0.6835857	-2.0244217	0.0	0.0087767625	0.161	1762	tags=48%, list=13%, signal=55%	
