NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ENERGY COUPLED PROTON TRANSPORT, DOWN ELECTROCHEMICAL GRADIENT%GOBP%GO:0015985	ENERGY COUPLED PROTON TRANSPORT, DOWN ELECTROCHEMICAL GRADIENT%GOBP%GO:0015985	Details ...	51	0.5829456	1.9494597	0.0	0.20265847	0.327	2404	tags=41%, list=18%, signal=50%	
ATP SYNTHESIS COUPLED PROTON TRANSPORT%GOBP%GO:0015986	ATP SYNTHESIS COUPLED PROTON TRANSPORT%GOBP%GO:0015986	Details ...	51	0.5829456	1.9255614	0.0	0.15412848	0.453	2404	tags=41%, list=18%, signal=50%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED PROTON TRANSPORT%GOBP%GO:0042776	MITOCHONDRIAL ATP SYNTHESIS COUPLED PROTON TRANSPORT%GOBP%GO:0042776	Details ...	50	0.58355707	1.9070297	0.0	0.14069203	0.572	2404	tags=42%, list=18%, signal=51%	
PROTON TRANSMEMBRANE TRANSPORT%GOBP%GO:1902600	PROTON TRANSMEMBRANE TRANSPORT%GOBP%GO:1902600	Details ...	76	0.5278812	1.9057443	0.0	0.107997425	0.579	1436	tags=29%, list=10%, signal=32%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	110	0.5020544	1.8991597	0.0	0.09454684	0.615	2114	tags=37%, list=15%, signal=44%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	99	0.5071902	1.8900585	0.0	0.091060825	0.668	2114	tags=37%, list=15%, signal=44%	
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	Details ...	57	0.55085456	1.8877003	0.0	0.08087672	0.682	2404	tags=37%, list=18%, signal=45%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	Details ...	90	0.51407915	1.8812946	0.0	0.0768241	0.71	2114	tags=37%, list=15%, signal=43%	
PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525	PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525	Details ...	18	0.6938662	1.8761169	0.0018018018	0.07356469	0.736	508	tags=22%, list=4%, signal=23%	
PERK REGULATES GENE EXPRESSION%REACTOME%R-HSA-381042.1	PERK REGULATES GENE EXPRESSION%REACTOME%R-HSA-381042.1	Details ...	32	0.6213531	1.8661417	0.0	0.07664821	0.787	3098	tags=53%, list=23%, signal=69%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	117	0.4830184	1.8615836	0.0	0.074425094	0.805	2114	tags=35%, list=15%, signal=41%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	Details ...	59	0.53789586	1.8611536	0.0	0.06852824	0.806	2404	tags=36%, list=18%, signal=43%	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 79%2408522	Details ...	100	0.50265646	1.8523469	0.0	0.07133977	0.842	2114	tags=36%, list=15%, signal=42%	
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	Details ...	74	0.5102872	1.8458709	0.0	0.07261918	0.867	1382	tags=27%, list=10%, signal=30%	
FERROPTOSIS%WIKIPATHWAYS_20220210%WP4313%HOMO SAPIENS	FERROPTOSIS%WIKIPATHWAYS_20220210%WP4313%HOMO SAPIENS	Details ...	37	0.5884003	1.8418908	0.0	0.07149088	0.873	1489	tags=32%, list=11%, signal=36%	
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	Details ...	59	0.53789586	1.8414761	0.0016891892	0.06751091	0.876	2404	tags=36%, list=18%, signal=43%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	Details ...	71	0.521735	1.841093	0.0	0.06381529	0.879	1382	tags=28%, list=10%, signal=31%	
